speakerID,lexical_token,feedback_start,feedback_end,predicted_function
sw02012A,yeah,162.423,162.898875,C
sw02012A,mhm,216.538,216.962625,PR
sw02012A,yeah,217.426,217.83075,PR
sw02012A,mhm,227.986875,228.4925,C
sw02012A,mhm,237.75175,238.154375,C
sw02012A,mhm,237.284625,237.64625,C
sw02012A,yeah,268.472125,268.897625,O
sw02012A,mhm,304.493375,304.8645,C
sw02012A,mhm,304.978875,305.378625,C
sw02012A,mhm,297.1965,297.6665,C
sw02012A,mhm,297.809625,298.2465,C
sw02012A,yeah,315.738625,316.129,C
sw02012A,yeah,317.706,318.138625,C
sw02012A,yeah,319.4205,319.819,A
sw02012A,yeah,371.212875,371.6285,A
sw02012A,mhm,377.28675,377.6705,C
sw02012A,uh-huh,74.42225,74.856625,C
sw02012B,yeah,120.174375,120.612875,A
sw02012B,mhm,365.00425,365.475,C
sw02012B,right,335.304625,335.757375,A
sw02012B,right,336.020625,336.431375,A
sw02012B,right,343.19475,343.659,A
sw02012B,mhm,402.267625,402.687625,C
sw02012B,oh,442.307625,442.83025,NS
sw02012B,okay,430.6585,431.261375,A
sw02012B,uh-huh,454.406125,454.816125,C
sw02012B,uh-huh,456.2595,456.6695,C
sw02012B,yes,484.55375,485.076375,A
sw02012B,yes,531.70625,532.035625,PR
sw02012B,yes,541.37925,541.6945,A
sw02012B,okay,584.244875,584.810875,C
sw02012B,exactly,82.73225,83.535625,A
sw02013A,um,13.512,13.805875,O
sw02013A,yeah,208.87825,209.165125,C
sw02013A,well,216.863875,217.21475,O
sw02013A,yeah,242.351,242.737,A
sw02013A,uh-huh,41.672375,42.162375,C
sw02013A,oh,289.013375,289.336125,Sy
sw02013A,no,312.994375,313.266,O
sw02013A,uh-huh,344.4585,344.797875,C
sw02013A,yeah,542.147875,542.39875,A
sw02013A,okay,548.132,548.451625,C
sw02013A,well,548.64,548.87775,O
sw02013A,mhm,91.87525,92.339,C
sw02013A,well,115.927375,116.06,O
sw02013B,um,122.61975,123.0775,O
sw02013B,yeah,120.003375,120.273,A
sw02013B,yes,121.380875,121.722125,PR
sw02013B,yes,153.806875,154.205,A
sw02013B,yes,155.693625,156.04675,A
sw02013B,yeah,182.606875,182.823875,A
sw02013B,um,313.0225,313.5335,O
sw02013B,yeah,385.965375,386.254875,A
sw02013B,yeah,387.39,387.710875,PR
sw02013B,mhm,399.413625,399.67575,A
sw02013B,no,424.806125,425.21975,NR
sw02013B,yeah,428.929375,429.246375,C
sw02013B,yeah,439.726625,440.013875,A
sw02013B,uh,441.66275,442.02475,NS
sw02013B,yeah,484.33375,484.872625,A
sw02013B,yeah,503.480125,503.73275,A
sw02013B,yeah,513.696875,513.98025,A
sw02013B,right,535.14875,535.4785,A
sw02013B,wow,527.381625,527.69925,PS
sw02013B,yeah,534.552375,534.86325,C
sw02013B,yeah,79.224375,79.492375,A
sw02013B,okay,86.64075,86.965875,C
sw02013B,yeah,90.9905,91.19975,A
sw02014A,right,107.822,108.192375,A
sw02014A,right,110.322125,110.791125,A
sw02014A,right,111.488,111.891,A
sw02014A,yeah,105.267625,105.6825,O
sw02014A,no,117.32875,117.80525,A
sw02014A,right,31.544625,31.890875,A
sw02014B,right,126.723,127.145125,A
sw02014B,yep,160.597375,160.99475,PR
sw02014B,yep,203.5795,204.0065,PR
sw02014B,uh,217.8295,218.559625,O
sw02014B,uh,219.98725,220.8805,O
sw02014B,yeah,224.552625,224.799125,A
sw02014B,yeah,44.102375,44.589875,A
sw02014B,uh-huh,63.734625,64.21275,C
sw02015B,mhm,155.262375,155.792875,C
sw02015B,mhm,155.993,156.30525,C
sw02015B,mhm,142.841,143.44025,C
sw02015B,mhm,225.812375,226.321625,C
sw02015B,right,229.49175,230.19725,C
sw02015B,yeah,231.3865,231.685625,A
sw02015B,yeah,232.148875,232.43775,A
sw02015B,uh-huh,37.720875,38.290375,C
sw02015B,uh-huh,38.5235,38.970625,C
sw02015B,yeah,329.35525,329.8355,C
sw02015B,yeah,330.204625,330.592125,C
sw02015B,yeah,331.699625,332.143,C
sw02015B,yeah,332.410375,332.813125,A
sw02015B,mhm,46.49475,47.01,C
sw02015B,uh-huh,71.232125,71.800625,C
sw02015B,uh-huh,71.96075,72.37325,C
sw02015B,mhm,92.7205,93.099125,C
sw02015B,mhm,114.68625,115.342875,C
sw02015B,uh-huh,86.632875,86.98575,C
sw02017A,hm,140.39225,140.785,NS
sw02017A,mhm,136.4865,136.9765,C
sw02017A,hm,177.933125,178.27775,NS
sw02017A,uh-huh,182.455125,182.875125,C
sw02017A,mhm,199.921125,200.397125,C
sw02017A,yes,211.07225,211.5765,A
sw02017A,uh-huh,21.20325,21.615125,C
sw02017A,oh,227.030375,227.43125,PS
sw02017A,oh,228.56525,228.926375,PS
sw02017A,mhm,248.368875,248.82275,C
sw02017A,hm,283.699625,284.180625,NS
sw02017A,mhm,298.69425,299.189625,C
sw02017A,mhm,275.919125,276.151125,C
sw02017A,mhm,33.41825,33.938875,C
sw02017A,mhm,337.661125,338.221125,C
sw02017A,mhm,333.67975,334.12675,C
sw02017A,yes,352.417625,352.966,A
sw02017A,mhm,42.542625,42.9325,C
sw02017A,hm,52.052125,52.508375,D
sw02017A,mhm,82.686875,83.179875,C
sw02017A,hm,107.83125,108.23125,Sy
sw02017A,mhm,99.957125,100.457125,C
sw02017A,really,106.3505,106.766375,NS
sw02017A,yes,91.24725,91.6785,PR
sw02017A,yes,117.412625,117.95925,A
sw02017B,oh,4.00825,4.38875,PS
sw02017B,right,230.573625,231.02425,PR
sw02017B,uh,236.771125,237.15325,O
sw02017B,yeah,235.733,236.03075,C
sw02017B,yeah,239.0055,239.341375,A
sw02017B,mhm,263.123625,263.6745,C
sw02017B,yeah,270.44325,270.647375,C
sw02017B,well,271.7025,271.969875,O
sw02017B,mhm,317.204625,317.7555,C
sw02017B,right,322.259375,322.842125,A
sw02017B,yeah,320.684875,320.91575,A
sw02017B,okay,365.379625,365.814625,O
sw02017B,yeah,360.96725,361.31725,C
sw02017B,um,75.7945,76.406875,O
sw02017B,well,75.249375,75.602375,O
sw02017B,yeah,69.274,69.517875,A
sw02017B,yeah,74.54575,74.75975,C
sw02018A,yes,109.90525,110.462875,A
sw02018A,yes,110.909125,111.530625,A
sw02018A,um,123.10925,123.50525,O
sw02018A,yeah,118.22225,118.74625,O
sw02018A,yeah,124.219875,124.489875,A
sw02018A,yeah,124.998875,125.419625,A
sw02018A,yes,119.446875,119.759375,PR
sw02018A,yeah,138.072375,138.45375,O
sw02018A,yeah,138.732375,139.13525,PR
sw02018A,yeah,140.16975,140.451625,PR
sw02018A,mhm,159.694875,160.10875,C
sw02018A,uh-huh,162.473875,162.86525,C
sw02018A,mhm,165.58175,165.98575,C
sw02018A,mhm,178.046,178.407875,C
sw02018A,oh,180.13575,180.94775,PS
sw02018A,uh-huh,182.63675,182.977375,C
sw02018A,yeah,189.545875,190.18075,C
sw02018A,mhm,194.780375,195.099875,C
sw02018A,oh,204.395125,204.799,NS
sw02018A,yeah,198.43975,198.71625,C
sw02018A,mhm,222.500875,222.926375,PR
sw02018A,oh,25.090875,26.20575,PS
sw02018A,yeah,230.509125,231.04425,A
sw02018A,yes,232.030125,232.54325,A
sw02018A,mhm,241.20375,241.615,C
sw02018A,yes,242.229625,242.44075,A
sw02018A,mhm,255.6155,256.119125,C
sw02018A,yeah,257.83,258.284375,A
sw02018A,yes,259.434,259.861125,A
sw02018A,mhm,267.50725,267.977,C
sw02018A,mhm,270.45625,270.798875,C
sw02018A,yes,276.0905,276.516125,A
sw02018A,uh-huh,297.153,297.612,C
sw02018A,okay,34.475875,34.982625,C
sw02018A,mhm,314.085,314.466625,C
sw02018A,mhm,321.519875,321.869875,C
sw02018A,yes,318.47425,318.896125,A
sw02018A,mhm,334.937125,335.292125,C
sw02018A,oh,331.9785,332.648625,PS
sw02018A,yes,333.3145,334.1885,A
sw02018A,yes,340.6885,341.203625,A
sw02018A,mhm,357.4515,357.98975,C
sw02018A,yes,350.418875,350.794625,A
sw02018A,yes,351.0165,351.450375,A
sw02018A,yes,351.836125,352.398125,A
sw02018A,um,59.793875,60.314375,O
sw02018A,mhm,95.52425,95.8545,C
sw02018A,yeah,99.28525,99.538375,A
sw02018B,uh-huh,115.467375,116.239125,C
sw02018B,yeah,130.845875,131.39225,A
sw02018B,mhm,17.37525,18.094875,C
sw02018B,mhm,146.8225,147.596625,PR
sw02018B,mhm,151.856375,152.38725,PR
sw02018B,hm,213.95275,214.412625,D
sw02018B,um,31.223375,31.740125,O
sw02018B,yeah,29.530875,30.118375,A
sw02018B,mhm,247.148,247.74425,C
sw02018B,yeah,261.363625,261.986875,A
sw02018B,uh-huh,316.99125,317.65125,C
sw02018B,okay,37.852375,38.524375,O
sw02018B,yes,39.081875,40.07175,PR
sw02018B,yeah,359.337,359.918625,A
sw02018B,mhm,9.276625,9.99725,C
sw02018B,mhm,72.467875,72.991625,C
sw02018B,uh-huh,64.529125,65.27725,C
sw02018B,yeah,71.61075,72.2155,A
sw02018B,mhm,77.541875,78.155125,C
sw02018B,yeah,101.377625,102.090125,A
sw02019A,uh-huh,193.908375,194.506875,C
sw02019A,oh,320.382875,320.864625,Sy
sw02019A,uh-huh,305.964875,306.618375,C
sw02019A,uh-huh,324.096,324.7955,C
sw02019A,uh-huh,356.985,357.583125,C
sw02019A,uh-huh,389.64925,390.31,C
sw02019A,mhm,418.40625,419.013625,C
sw02019B,yeah,12.09225,12.445875,C
sw02019B,yeah,104.856,105.33125,A
sw02019B,oh,141.677875,142.41725,PS
sw02019B,okay,136.556125,137.21175,C
sw02019B,okay,152.26625,152.72125,C
sw02019B,uh-huh,129.84975,130.40225,C
sw02019B,yeah,148.27675,148.68275,C
sw02019B,really,207.541625,207.993875,PS
sw02019B,okay,224.0085,224.488,C
sw02019B,okay,229.328625,229.845125,C
sw02019B,okay,234.80525,235.363875,C
sw02019B,yeah,216.255375,216.79025,C
sw02019B,yeah,242.91825,243.309625,A
sw02019B,mhm,259.568125,260.045625,C
sw02019B,wow,267.1205,267.71875,NegS
sw02019B,yeah,363.632125,363.927375,PR
sw02019B,yeah,368.09,368.43125,C
sw02019B,yeah,381.112375,381.618375,C
sw02019B,yeah,381.753875,382.1635,C
sw02019B,yeah,408.379125,408.729375,A
sw02019B,okay,424.471,425.018375,C
sw02019B,yeah,421.390875,421.8305,O
sw02019B,yeah,7.679875,8.072875,C
sw02019B,okay,97.426125,97.94925,C
sw02020A,right,138.2295,138.5695,A
sw02020A,uh-huh,126.68775,127.09775,C
sw02020A,uh-huh,128.06875,128.660375,C
sw02020A,yeah,123.3225,123.907,A
sw02020A,no,197.84,198.28,NR
sw02020A,who,217.6365,217.905125,PS
sw02020A,well,219.9445,220.31725,O
sw02020A,yeah,270.883,271.333,C
sw02020A,oh,300.742125,301.044125,PS
sw02020A,mhm,322.698625,323.070625,C
sw02020A,mhm,337.690125,338.190125,C
sw02020A,mhm,343.772,344.112,C
sw02020A,right,376.768,377.308,A
sw02020A,well,380.276625,380.537125,O
sw02020A,mhm,387.781125,388.268875,C
sw02020A,yeah,393.758625,394.108,A
sw02020A,yeah,427.634625,428.024625,A
sw02020A,huh,468.985125,469.195125,NS
sw02020A,mhm,448.7865,449.53275,C
sw02020A,no,484.736875,485.106875,A
sw02020A,right,475.137125,475.507125,A
sw02020A,uh-huh,463.871,464.244875,C
sw02020A,mhm,67.340125,67.980125,C
sw02020A,mhm,50.724375,51.1455,C
sw02020A,yeah,86.034875,86.414875,A
sw02020A,hm,512.93525,513.169,NS
sw02020A,right,539.579875,539.899875,A
sw02020A,uh-huh,524.554125,524.834125,C
sw02020A,uh-huh,550.531375,550.94175,C
sw02020A,uh-huh,551.715875,552.4825,C
sw02020A,mhm,96.770125,97.120125,C
sw02020A,mhm,102.98625,103.486625,C
sw02020A,right,106.008125,106.465875,A
sw02020B,yeah,161.782125,162.132125,A
sw02020B,yeah,177.234375,177.69925,C
sw02020B,yeah,179.136625,179.584875,C
sw02020B,yeah,158.24475,158.559375,A
sw02020B,mhm,212.8445,213.32275,PR
sw02020B,yeah,212.285875,212.66975,PR
sw02020B,yeah,206.223875,206.67975,PR
sw02020B,mhm,233.7315,234.5585,C
sw02020B,okay,225.73,226.36,C
sw02020B,yeah,324.389,324.87225,C
sw02020B,um,37.823125,38.404,O
sw02020B,um,437.43425,438.006375,O
sw02020B,yeah,511.8405,512.26575,A
sw02020B,no,569.282375,569.641,NR
sw02020B,yeah,21.918125,22.438125,A
sw02020B,yeah,93.427125,93.75175,PR
sw02022A,mhm,107.889875,108.220875,C
sw02022A,yeah,111.862875,112.19775,C
sw02022A,yeah,123.21975,123.612375,A
sw02022A,yeah,158.981875,159.38025,C
sw02022A,uh-huh,175.145875,175.525875,C
sw02022A,yeah,181.413375,181.7525,PR
sw02022A,mhm,285.288875,285.771625,C
sw02022A,mhm,278.29425,278.709,C
sw02022A,mhm,307.697625,308.046625,C
sw02022A,okay,315.725875,316.095875,C
sw02022A,yeah,311.9425,312.69025,C
sw02022A,mhm,86.143625,86.463625,C
sw02022A,mhm,95.334625,95.739125,C
sw02022A,yeah,102.657125,103.009625,C
sw02022B,uh-huh,14.619,15.099,C
sw02022B,uh-huh,43.927,44.476125,C
sw02022B,uh-huh,46.12475,46.809,C
sw02022B,uh-huh,8.86425,9.291,C
sw02022B,uh-huh,137.4305,137.98575,C
sw02022B,uh-huh,142.110875,142.601,C
sw02022B,uh-huh,145.527375,145.983125,C
sw02022B,uh-huh,164.8985,165.184375,PR
sw02022B,uh-huh,212.084625,212.647125,C
sw02022B,uh-huh,201.93575,202.50925,C
sw02022B,yeah,193.697125,194.177125,A
sw02022B,uh-huh,250.16875,250.771875,C
sw02022B,uh-huh,258.765625,259.391125,C
sw02022B,uh-huh,271.0755,271.78475,C
sw02022B,right,297.972125,298.622125,C
sw02022B,yeah,289.7375,290.3205,A
sw02022B,yeah,51.10775,51.63775,A
sw02022B,uh-huh,98.204375,98.914125,C
sw02022B,yeah,99.752375,100.329,PR
sw02023A,yeah,143.54125,143.8505,A
sw02023A,yeah,160.16775,160.469375,C
sw02023A,yeah,182.285875,182.5875,A
sw02023A,yeah,214.95975,215.186,A
sw02023A,uh,246.130375,246.480375,O
sw02023A,well,245.80575,246.010375,O
sw02023A,yeah,245.417625,245.6975,A
sw02023A,yeah,37.770625,37.917625,C
sw02023A,yeah,329.8765,330.2465,A
sw02023A,uh,333.704125,334.015,O
sw02023A,uh,413.38625,413.697125,O
sw02023A,huh,462.964125,463.07175,NS
sw02023A,yeah,570.254625,570.6205,PR
sw02023A,yeah,585.86275,586.05925,A
sw02023A,yeah,105.893625,106.253625,A
sw02023B,okay,1.299125,1.7275,O
sw02023B,um,116.25625,116.60325,O
sw02023B,oh,179.709625,180.16,PS
sw02023B,exactly,187.08825,187.6355,A
sw02023B,yeah,209.904,210.333625,A
sw02023B,yeah,225.245375,225.491625,A
sw02023B,uh-huh,256.373875,256.692625,C
sw02023B,uh-huh,272.98075,273.225,C
sw02023B,um,28.360375,28.707625,O
sw02023B,oh,296.444625,296.668375,Sy
sw02023B,mhm,307.27125,307.7525,C
sw02023B,yeah,335.726,336.031875,C
sw02023B,no,354.126375,354.395625,A
sw02023B,uh-huh,353.675625,354.00175,C
sw02023B,uh,44.242125,44.47425,NS
sw02023B,yes,44.602125,45.08925,PR
sw02023B,oh,413.4155,413.6555,PS
sw02023B,yeah,442.3355,442.63675,A
sw02023B,mhm,449.0175,449.29,C
sw02023B,well,450.95725,451.207,O
sw02023B,yeah,448.633375,448.885625,C
sw02023B,uh-huh,455.679625,456.039625,C
sw02023B,yeah,468.802125,469.12025,A
sw02023B,mhm,494.84625,495.1785,C
sw02023B,yeah,503.4275,503.78025,A
sw02023B,yeah,503.99875,504.31125,A
sw02023B,oh,549.312,549.529125,Sy
sw02023B,uh-huh,537.628375,538.070375,C
sw02023B,uh-huh,540.866125,541.239875,C
sw02023B,oh,69.023375,69.552375,PS
sw02023B,yes,70.1575,70.531875,PR
sw02023B,oh,99.140125,99.410375,PS
sw02023B,uh,101.3555,101.792625,O
sw02023B,yeah,99.518375,99.84225,C
sw02023B,yes,100.294375,100.7805,C
sw02024A,yeah,139.285375,139.64775,A
sw02024A,uh-huh,179.539625,179.87625,C
sw02024A,yeah,172.781625,173.079125,C
sw02024A,right,189.861375,190.458625,A
sw02024A,yeah,210.001875,210.293875,A
sw02024A,yeah,212.280875,212.585625,PR
sw02024A,yeah,212.78125,213.060375,PR
sw02024A,well,226.32375,226.705625,O
sw02024A,sure,267.18075,267.530375,C
sw02024A,um,275.295,275.693,O
sw02024A,yeah,311.444125,311.70375,A
sw02024A,yeah,312.3515,312.66925,A
sw02024A,yeah,333.64775,333.8945,A
sw02024A,yeah,379.424875,379.684875,A
sw02024A,yeah,370.555,370.765,A
sw02024A,yeah,371.585,371.803375,A
sw02024A,uh,398.330125,398.6235,O
sw02024A,uh-huh,77.388,77.642625,C
sw02024A,uh-huh,88.937125,89.317125,C
sw02024A,um,91.85075,92.297,O
sw02024A,well,91.222125,91.639875,O
sw02024A,oh,19.128125,19.38375,Sy
sw02024B,mhm,122.7755,123.1255,C
sw02024B,mhm,220.151,220.501,C
sw02024B,mhm,247.990125,248.283,C
sw02024B,sure,257.593875,258.055125,C
sw02024B,sure,260.65925,260.92125,A
sw02024B,um,267.737625,268.242875,O
sw02024B,mhm,351.279875,351.574625,C
sw02024B,uh,386.307875,386.792875,O
sw02024B,um,388.281375,388.74725,O
sw02024B,mhm,94.72925,95.139125,C
sw02025A,uh,136.01125,136.376375,O
sw02025A,um,161.3245,161.694,O
sw02025A,exactly,191.062375,191.5645,A
sw02025A,hm,283.125125,283.414125,NS
sw02025A,yeah,287.92275,288.158125,A
