speakerID,speakerID_sex,lexical_token,feedback_start,feedback_end,function,4sec_interlocutor_context
sw04048B,male,yeah,41.65198689400744,41.82062168974934,Y,oh they do with alcohol they do it with alcohol
sw02335A,male,mhm,378.761075354281,379.022,C,killed them well it was two stores side by side
sw02335A,male,yeah,384.4308951485081,384.72542923345776,C,was like a a fast food place i think it chicken or something i
sw02335A,male,ow,393.27239313075603,393.731375,S,i mean they just beat them stuffed them in the freezer and then shot them all
sw02720B,female,no,527.9123131010055,528.4161200643057,N,do they do they ever publish any results um
sw02720B,female,um,532.035625,532.3698887660634,O,how about the student newspaper
sw02534A,male,uh,79.54753805173542,79.737,O, 
sw02534A,male,yeah,80.42520514686267,80.68526368880772,A,oh that's
sw02534A,male,hm,84.09625566776747,84.40393056246302,MS,now our local stores don't don't offer any
sw02534A,male,hm,88.55693467391909,88.75350474553014,C,but some of the the mail order ones that i've dealt with for roses and
sw02534A,male,yeah,91.66005653326258,91.965125,C,roses and that they offer through through the first Summer
sw02534A,male,yeah,96.81275318272685,97.18391654775641,A,if they take off the first year they're probably going to come
sw02534A,male,yeah,97.63103867781389,97.93138797977859,C,off the first year they're probably going to come up unless there's
sw03340B,female,mmm,163.84070726212627,164.24077656950993,S,dad was hit by a a drunk driver who was also high
sw02575B,male,yeah,495.4078792642137,495.596,A,i think it's a little bit inefficient but but it's better than nothing
sw02575B,male,yes,513.3330154677391,513.7053016002237,A,quite capable of doing something for themselves but just won't
sw02575B,male,yes,539.3334456563264,539.7276309730747,C,out four thousand dollars better a year by taking welfare
sw02197B,male,yeah,360.9855637417391,361.2216174771683,A,they're just like you know someone from the country lost in the big city i mean
sw02197B,male,uh-huh,369.99460847463337,370.2293666352249,C,small school for my first two years and then i transferred to a very large school
sw02197B,male,mhm,374.2581447625519,374.5136321205467,C,that worked out pretty well i went from a you know a second rate institution to a higher rate
sw02197B,male,right,382.64772171129994,382.8778158024757,C,i needed to make friends i needed to sort of learn the ropes you know there were things
sw02197B,male,well,388.60251043850474,388.9145163383521,O,really simple education that you can get pretty much anywhere
sw02109A,female,yes,401.8527820971157,402.44351862711744,A,and to make it
sw02312B,female,mhm,329.46580156145535,329.94375,C,wasn't that great so i just i figured they were all like that so i don't waste my
sw02312B,female,yeah,347.9866446129229,348.426625,C,a few good episodes and then after that it it i just lost interest in it
sw02312B,female,yeah,349.23398732309687,349.60808439872625,C,that it it i just lost interest in it
sw03066B,female,oh,219.1775,220.42022703866644,S,guess i should say um my husband saw her get hit by a car so
sw03066B,female,mhm,223.08147358430134,224.10357450174578,C,loaded her up and brought her home thinking we'd find her a home and we did
sw02430A,male,sure,177.65578816648025,177.992489915623,C,which is high today like all the rest of us we expect top dollar for what we do and
sw02430A,male,mhm,183.08007035985713,183.44452225316002,C,it's just that it's very very hard to find anybody here that's willing to do that type of work
sw02430A,male,right,188.1931621421215,188.50396375671482,A,of our so called garages are now a convenience stores
sw02430A,male,exactly,190.85607439269464,191.35835200199276,A,stores that sell gasoline and they really don't do any repairs
sw02238A,female,mmm,222.4862665815129,222.77350153252073,C,my father was a um diabetic he was pronounced a diabetic when he was
sw02238A,female,mmm,230.16548091659024,230.41411348256378,C,you know didn't take quite as good care of himself in the beginning as he should
sw02238A,female,mhm,241.23523900435924,241.77069144193163,C,by the time he was in his mid fifties which is very
sw02238A,female,mmm,255.0328232811396,255.5442011129917,S,had deteriorated to the point that he always had to have something to lean his head back
sw02137A,male,yes,183.10912773248157,183.568875,Y,i don't i don't know if you know remember about the WPA
sw02921B,female,pardon,308.7262304324553,309.0413327357749,U,yeah i understand we have that too that's that's large if your children aren't at home any
sw02921B,female,well,311.06025096667537,311.52631001264456,O,large if your children aren't at home any more that's large if your kids aren't at
sw02118B,female,uh-huh,277.6378577746271,277.9750201130239,C,Williams show or something that filled up the other fifteen minutes of that
sw02118B,female,yeah,280.8337350348027,281.14551956278257,C,minutes of that half hour and we just weren't so heavy with it
sw02224B,male,mhm,128.29377159288268,128.59125,C,i don't know i just think there was probably some other teams that they only missed by couple of points and
sw02224B,male,mhm,136.65167604115402,136.8893198755992,A,him as a coach and he's he's been for years a a good coach
sw02315B,male,yeah,50.80932256560912,51.07543599315174,A,pretty young so but a lot of people they go out and buy new cars
sw02315B,male,yeah,60.16180979815192,60.48971735493666,C,a new one but instead i go out and buy toys and
sw02315B,male,yeah,61.104799507902015,61.41078011560083,C,but instead i go out and buy toys and things
sw02236A,female,oh,362.3528083108239,362.686125,SS,about uh two or three blocks from the historic district
sw02236A,female,yeah,364.3285558946365,364.7448069047504,C,from the historic district so that's quite uh
sw02236A,female,yeah,370.4508314736359,370.93875,C,them up and show them Independence Hall the Liberty Bell and
sw02050B,female,mhm,417.56595101146274,418.1677327511812,C,exactly a lot more uh that's right a lot more helpful ideas
sw02050B,female,yes,420.980125,421.4789385657689,A,ideas that we could be uh spending time and effort on
sw02122B,female,yeah,311.82450427752775,312.13412554026786,C,in so yeah
sw02122B,female,yes,315.48203752008124,315.95025,A,no but it it was just sensational because i walked in and they go oh my God they're still using this
sw02336A,male,mhm,406.2594223205576,406.5158344861718,C,i am not really crazy about driving
sw02336A,male,mhm,411.9798787159703,412.267875,C,you know my parents had to force me to get my driver's license when i was young when i
sw02336A,male,mhm,425.0268106391419,425.26018577425174,C,you know sports car racing i never it was never my own car it was
sw02336A,male,mhm,436.6084066118942,436.91089283851727,C,never has really been had any appeal to me in
sw03361B,female,pardon,39.1847370651409,39.518608283897606,U,oh you knew of the homes then
sw03361B,female,well,41.28595535660957,41.664375,O,oh you knew of the homes then you knew of the homes themselves
sw02274A,female,mhm,116.50721068725602,116.95397141324541,C,fair you know to the kids and and to the people that are sick
sw02274A,female,mhm,129.57111945097625,129.9690959597599,C,and i know a few people that have had experiences in those
sw02107B,female,oh,261.509,262.2235,S,i'll call them and he was the only one left and his mother had been killed
sw02107B,female,uh-huh,264.664625,265.214625,C,been killed coming back across the road to make sure she'd gotten all her kittens
sw02107B,female,oh,267.608,268.207872862546,S,all her kittens and he was the last one she carried across you
sw04357B,male,mhm,116.67234969572631,117.00473744142933,C,to say it anyway where their back bends and stuff and the bones
sw04357B,male,hm,120.33047147801491,120.71893441798078,S,deteriorate and it really did a toll on her
sw02057B,female,yes,2.8335701339184554,3.1667532478669536,Y,okay did it click
sw02348B,female,yeah,272.4045048485873,272.7277974424984,A,else can you get that kind of interest to start with i mean that's fantastic
sw02348B,female,uh-huh,284.8501225233171,285.1293657935745,C,working for a couple of years her father took sick so she's been taking care of him
sw02348B,female,yeah,291.161284158703,291.4113121963057,C,i mean when when she left and the pay out came in you know if we just rolled that over
sw02348B,female,yup,300.6951868101048,300.9003728627027,A,it you know it just piles up
sw02101B,female,yes,258.728625,259.1330653355268,A,that are like nostalgic older movies
sw02101B,female,yeah,261.8536144273478,262.2685,C,movies that i have really enjoyed that i'm seeing for the first time
sw02181B,male,right,440.38180053290756,440.7165,C,individually and they failed individually and then that was it then they had to have the master beat
sw02181B,male,right,449.07294298741004,449.34425740289197,A,the sort of Joseph Campbell type myth the master should have died at the
sw02181B,male,mhm,458.45034978723476,458.7532457748892,C,reborn to the younger generation and on and on and on and all this wonderful myth
sw02181B,male,mhm,478.02328658978433,478.2766569301683,C,the audience that it could have been targeted for i thought
sw03305A,female,uh-huh,210.0908952425678,210.3828984874661,C,that back she didn't get it from the pound she found it in her yard okay
sw03305A,female,mmm,213.1400903556424,213.59338059140507,S,okay and you know and it was just the poor cat was just a mess
sw03305A,female,uh-huh,214.39720529089863,214.7208334359664,C,and it was just the poor cat was just a mess it was the most horrible looking thing
sw02554B,male,yeah,470.25862165976247,470.61425,A,yeah all we can do is keep plugging
sw02554B,male,mhm,476.85375732588693,477.3086062828552,C,the paper just last week IBM's unveiling their new laptop
sw02554B,male,no,482.85815658068884,483.15475,A,tag of six thousand bucks i don't know if they're going to have a whole lot of takers
sw02554B,male,absolutely,483.3513207291593,483.93799537940816,A,of six thousand bucks i don't know if they're going to have a whole lot of takers
sw02554B,male,okay,487.4936548658784,487.86598697667097,C,because uh now i have the i i have the IBM PS two
sw02554B,male,yeah,489.55197441223186,489.78241779972245,C,i have the IBM PS two but i'm sorry i got it
sw02554B,male,yeah,495.7711968955171,496.091875,A,uh there are many better machines on the market right
sw02554B,male,okay,500.2978833181861,500.66575,C,for a the only reason i got it is because i got it through an educational purchase plan
sw02249B,female,yes,127.41191868417769,127.67959256332854,A,they uh it's too expensive to recycle them
sw02249B,female,mhm,142.14363995322574,142.5405939026348,C,so anything like manuscripts or computer paper
sw02080B,male,right,104.410875,104.68225,C,they're they're truss construction but they're well braced you know
sw02080B,male,mhm,107.62645058587435,107.95599210852077,C,braced you know cross braced inside held together by steel cleats and
sw02311B,female,oh,444.066399821257,445.0451261026863,S,well i'm pretty short but i have a very bad knee i couldn't
sw02311B,female,uh-huh,451.4462290431001,452.03775567874476,C,i i going out i'm like i i stand the ball on my foot
sw02315B,male,mhm,391.1192853157463,391.47872392733905,C,as opposed to a Volkswagen Rabbit or a Toyota
sw02315B,male,yeah,396.63358456929654,396.85579342342817,C,about cars my husband wants a Toyota pickup truck
sw02315B,male,uh-huh,399.71380126478596,399.92452645720533,C,truck and i can't talk him into a Dodge pickup truck
sw02194B,male,mhm,151.65927982738253,151.88688796966133,C,where where it was continually down it it
sw02194B,male,mhm,157.82675659419155,158.0304936386216,C,and this was about seven ten years ago
sw02361A,male,mhm,166.0317375155029,166.40026601099538,Y,funds all that stuff i think you know the IRA's
sw02361A,male,mhm,178.60393192718834,178.98376601297298,C,like the uh code over the two for one type of thing
sw02361A,male,right,180.1197561395628,180.47411046215174,C,code over the two for one type of thing or they match half i guess
sw02361A,male,mhm,205.57520717966412,205.98220843018055,C,meetings to keep you full informed
sw02361A,male,right,217.44555852942887,217.80193773386117,A,to you know give us a monthly meeting to tell us what's going on
sw02094A,female,right,264.2916083344558,264.8643290752054,A,something economically justifiable about it
sw02094A,female,mhm,276.54031488287103,276.9756178312024,C,live with air pollution in terms of health problems and everything else
sw02204A,male,mhm,245.92862630408524,246.23050341115643,C,that at least during the deliberations of the jury
sw02204A,male,yes,247.82110091268518,248.2026143118058,A,of the jury they can ask questions
sw02194A,male,uh-huh,342.9207185302513,343.2085093333365,C,been doing that since probably when i was in high school
sw02194A,male,yeah,357.81384671444556,358.16825,A,know the typing and to some extent the filing is just not there anymore
sw04087B,female,no,1.2698158396352497,1.816375,N,well do you have children
sw04087B,female,no,2.946691045548488,3.5534237971132447,N,well do you have children you don't have
sw04087B,female,oh,6.526352259598132,7.106251621658796,SS,children and my children are in their twenties now
sw04087B,female,yeah,25.75314629020271,26.392675406716915,A,you know all day during the day which i think is a real
sw02150A,female,yes,185.5913007432539,186.121125,A,i definitely think anyone that kills somebody should be in jail
sw02179B,male,yeah,358.2085387755885,358.441625,C,imagine it would that this that's what we get real cold weather where the wind
sw02179B,male,yeah,363.17819701205565,363.432,C,is called that uh Canadian express and boy that winds comes down and
sw02179B,male,yeah,368.3820326961011,368.604,A,dip sometimes it dips all the way down to you folks down in Texas and
sw02179B,male,yeah,373.1598648400779,373.3987529523716,A,the east coast here by the time we get it it is hauling some cold weather
sw02638A,male,uh,231.20441246728114,231.38222247631958,O, 
sw02638A,male,true,231.4699352807678,231.8186200190596,O, 
sw02638A,male,mhm,237.2594129945622,237.56525,C,work in other companies that are just now adopting the
sw02638A,male,mhm,246.45055513531318,246.73860313836107,C,um had never had uh random drug sampling
sw02638A,male,right,249.35718509815484,249.52244869937203,C,drug sampling before because they were outside of the military sector it
sw02638A,male,mhm,250.4452415407441,250.67900325213904,C,because they were outside of the military sector it was uh an industrial
sw02005B,male,mhm,108.96555083823812,109.3502990335248,C,and um she had used a walker for for quite sometime
sw02005B,male,mmm,117.7225,117.99817042557144,MS,and uh finally uh she had uh Parkinson's Disease
sw02005B,male,right,120.98945602338958,121.2708798626718,C,Disease and it got so much that she could not take care of her house
sw02005B,male,mhm,121.52346329935953,121.75051173606658,C,and it got so much that she could not take care of her house
sw02005B,male,mhm,127.36943830312953,127.66372960408987,C,an apartment and um that was even harder
sw02005B,male,mhm,128.64906379817955,128.9812548823557,C,um that was even harder actually
sw02005B,male,yes,137.07887840415367,137.346841219909,C,it was very disturbing for her because she had been so used to traveling
sw02005B,male,mhm,140.6367073864109,140.877453443614,C,i mean she traveled she had she had children all across the United States
sw02005B,male,right,144.98800701826445,145.22975,C,you know she spent nine months out of the year just visiting her
sw02005B,male,uh-huh,145.41385705093285,145.65833882281666,C,she spent nine months out of the year just visiting her children
sw02107B,female,yes,11.573054331653191,12.096196690389434,O,oh gosh
sw02458A,male,mhm,382.828375,383.0602780702079,C,up there high enough you know it's a it's in the ozone layer it
sw02458A,male,mhm,396.9303467876848,397.3036497258363,C,C O you know O O O three molecule it hits
sw02018A,female,yes,276.1497691322736,276.50414093625363,C,they can say yes that would be wonderful plus i bet it
sw02579A,male,yes,401.59043023831384,402.0788378650988,C,case i need it for that for traction but for additional weight in the
sw02579A,male,uh-huh,402.10375,402.5339069954654,C,need it for that for traction but for additional weight in the back of the
sw02637B,female,yeah,285.61985188497476,285.8761272673835,Y,your meat man cut it to a certain width you just take whatever you find
sw02637B,female,yeah,296.94546135513264,297.20993754977843,C,to try that and i just haven't got the nerve up i do tacos and
sw02637B,female,mhm,298.0282793439675,298.35481743137666,C,haven't got the nerve up i do tacos and enchiladas
sw04382B,male,mhm,70.56907831547028,70.924,C,and it's like seventy percent of it's from cars
sw04382B,male,uh-oh,90.67122260792439,91.0497750289058,S,the Wasatch front which match that of LA a few years ago
sw04382B,male,yeah,100.16428715170093,100.44073003807551,A,up in the mountain valleys and now it's not in the mountain valleys
sw02323A,female,mmm,234.38000863765023,234.48614409584306,C,him i mean if he were to use that he might as well commit suicide
sw02323A,female,right,247.35819838303956,247.59885436382564,C,you give up then you can come live in our country and we'll take care of you like Marcos
sw02299A,male,yeah,64.92431193877337,65.16040798835694,Y,i try to buy you know the early edition for the coupons you know the Sunday edition
sw02299A,male,yeah,72.02221894397408,72.2264101219923,Y,bundle it up and put it on the front you know the front walk every
sw02676B,male,uh-huh,251.45235644438986,251.777430308061,C,i was dumb i was in uh Florida for a week
sw02676B,male,huh-huh,271.3556447258952,271.7569343255326,C,where all the bad weather is i said okay you know
sw02064A,male,yes,172.30782554255373,172.541,A,that still does it
sw03702B,female,mhm,59.891625,60.209625,A,yeah oh i agree i it's it's a tough issue i
sw03702B,female,mhm,63.274844165455384,63.77655791121262,A,issue i feel like each case probably has to be evaluated individually
sw03702B,female,mhm,71.09275,71.51025,A,as families you know we need to take care of the older ones in our families
sw03702B,female,oh,75.88485834285376,76.290375,S,i understand um well we may be facing that with my grandmother
sw02023B,female,oh,99.140125,99.42951558336331,SS,you know i've used the credit card a couple times to pay bills
sw02023B,female,yeah,99.55296252403593,99.84225,C,you know i've used the credit card a couple times to pay bills
sw02023B,female,yes,100.33813662135559,100.76499531982597,C,used the credit card a couple times to pay bills
sw02023B,female,uh,101.3555,101.792625,O,a couple times to pay bills
sw02625B,male,mhm,155.60646470549824,155.9795,C,i like to see uh Matlock and then In the Heat of the Night
sw02625B,male,right,169.50596420025437,169.83293258008223,C,uh i think i'd like to check out that movie
sw02625B,male,right,186.00234257231847,186.27272027102228,C,special two hour thing but it was the first like like i said a pilot
sw02625B,male,right,216.26684970805866,216.59172213673378,C,bigoted or very more more you know more in the twentieth century now let's
sw02625B,male,right,219.2482599449001,219.4819584984309,C,now let's say or or very unbigoted
sw02625B,male,hm,239.6093406106972,239.88469619338875,MS,on the problems they have in the small town in the south
sw02013B,male,yeah,120.00703186189567,120.2618675193412,C,they're already talking about freedom of choice you know for schools
sw02013B,male,yes,121.38726696668587,121.70054412433635,C,freedom of choice you know for schools that's an idea
sw02013B,male,um,122.63172223030537,123.0775,O,for schools that's an idea
sw02432B,female,uh-huh,114.278125,114.67294116346706,C,we want to cook things and then we buy like cooking equipment and stuff
sw02432B,female,huh,124.20147144683727,124.52823554457188,C,you know would we vote on it and whatever the dorm would want that's what we buy
sw02061B,male,nah,383.7429728452748,383.98361446849856,D,yeah well IBM doesn't fire anybody
sw02061B,male,mhm,387.7789792583971,388.08485976324164,C,uh what they do is they they put you in a different job
sw02061B,male,uh,392.6822614322143,393.1908987864709,SS,are like sitting around not doing anything so you quit
sw02558B,female,um,149.08101787679095,149.38520635469067,O, 
sw02558B,female,mhm,162.4644775182199,162.8053520437055,C,to prove that they had pacifist and religious beliefs
sw02558B,female,uh-huh,171.57154497424034,171.88350376083014,C,something that was a fundamental part of their philosophy of
sw02307A,male,mhm,157.2348644058527,157.5688590538507,C,get hot you know i mean March April May it has a lot of
sw02307A,male,mhm,169.80046233528205,170.12725,C,bad humidity here until July and August those are our worst
sw02327A,male,mhm,96.99428813623253,97.496375,C,uh less than the full price of the house
sw02327A,male,yeah,105.4848087295284,105.76347748536384,C,valued at probably about ninety or a hundred thousand dollars
sw02447B,female,mmm,191.1825,191.6025,C,have a girlfriend who has one that her husband doesn't know she has
sw02447B,female,yeah,199.19457937515722,199.48407784700143,C,i mean she couldn't beat him to the mail every month i wouldn't think
sw02447B,female,mhm,205.18503279494854,205.4847488599167,C,uh he's a fireman so he's home two days a week that she teaches and
sw02290B,female,mhm,530.7576631551899,531.2243727469695,C,from you know three or four inches long
sw02290B,female,huh,539.6711727494725,540.232625,D,i ever caught was probably eight or ten inches long but just
sw02307A,male,yeah,226.23520613467608,226.56618218741593,A,is that like a pollen sort of a pollen count
sw02307A,male,mhm,236.86659419567007,237.21350903454194,C,probably a few weeks behind
sw02307A,male,mhm,240.9444318624841,241.14229203674563,C,you know down uh that area being that south you know
sw02307A,male,yeah,246.99032196674955,247.2198397688929,C,in bloom you know everything's green here till about October and then we lose it all
sw02175B,female,yeah,552.5830935288722,552.8705754224075,C,if we want to drive we have to pay for our own insurance on our cars
sw02175B,female,yeah,572.8650626021787,573.1485096621204,C,and i i agree with her you know i just i don't know
sw02175B,female,well,573.677,573.96725,O,agree with her you know i just i don't know so if
sw02608A,female,yeah,225.57567186644087,225.88445613603918,C,yeah okay okay i figured about that
sw02608A,female,mhm,240.36865939308436,240.75218906127589,Y,here like the type of people you're going to entertain you know
sw02608A,female,yeah,247.3403963347771,247.74843269103198,A,for the the group that you're going to entertain for that particular time
sw02608A,female,yeah,254.60762922962275,254.9568495345256,C,you know chicken wings and uh ribs and that kind of
sw02283B,male,right,531.0267020044089,531.5061249692011,C,have them think they're great and people who do have them curse
sw02283B,male,uh-huh,541.3357958020802,541.6943327470968,C,a matter of fact there's three of them very badly trimmed they aren't trimmed at
sw02179B,male,yeah,142.1176978245043,142.27575,C,well i did too about a month ago i had a a real severe cold
sw02179B,male,yeah,144.1147068161147,144.3135894721807,C,a a real severe cold but nothing that required you know um
sw02179B,male,yeah,156.1564969604381,156.3810779372317,A,dress you go out in the morning with real heavy clothes on because it's real cold and
sw02179B,male,yeah,158.25581492324233,158.46475344394088,A,clothes on because it's real cold and by noontime you're taking everything off you know
sw02179B,male,yeah,167.59557244708222,167.811625,A,uh you know by evening you can drop back twenty thirty degrees
sw02179B,male,yeah,169.35816974640414,169.5945,A,you can drop back twenty thirty degrees it's just the weather changes so quick you
sw02179B,male,yeah,176.42926545239354,176.68177938649978,A,course by then you're all sweated up and warm and that's how i think a lot folks carry
sw02177B,female,mmm,184.99833304643803,185.45505261293368,C,she disables him but not by cutting his feet
sw02177B,female,ugh,187.54441948662088,188.0650023823299,Ds,by cutting his feet um she she breaks both of his ankles
sw02177B,female,yeah,192.77046482666674,193.287875,A,couldn't watch and but you know you could tell when it was coming
sw02348B,female,yeah,530.5731007465793,530.8153439265628,C,sent to their banks or the credit union if they belong to the credit union
sw02348B,female,well,537.969875,538.2998536707397,O, 
sw02152A,female,yes,340.8734025399292,341.0715,Y,well do you work at a Attleboro
sw02038A,male,yes,27.1785,27.75562127241815,Y, 
sw02054B,female,uh-huh,286.770463049751,287.082375,C,Boston and in Boston um we get our share of snow
sw02054B,female,uh-huh,289.21677527454005,289.5683539197754,C,our share of snow but it was always very very well cleaned up
sw02054B,female,mhm,295.675,296.2086962483265,C,and sand and you know it would then the next morning it would be
sw02054B,female,uh-huh,303.903777563177,304.387125,C,much snow that they don't clean it up for just a little bit
sw02054B,female,oh,309.7375044498002,310.54545351316284,S,you're just driving right on it the streets haven't been plowed
sw02641A,male,mhm,147.59133197362695,147.82012735054252,C,as easy it just never started smelling i would put just a little bit of cat litter there
sw02641A,male,mhm,153.3798792317544,153.62489517643635,C,would had been all of her animals that she ever had were adopted
sw02641A,male,mhm,163.15746375501158,163.4144316969951,C,dog there is is basically a reject somebody had bought
sw02641A,male,mhm,169.09186606168447,169.3249300090649,C,you know just was not mature enough to keep the dog didn't realize how much work it was and now
sw02252B,male,mhm,206.26012331432813,206.58148940877174,C,it doesn't seem to tolerate anymore any kind of the expansionism
sw02252B,male,yeah,208.04063642136396,208.31831226127596,C,any kind of the expansionism philosophy that that was here in
sw02005A,male,yes,21.566291347681585,21.995483456557434,A,you know for and for their uh you know for their own good
sw02005A,male,yeah,22.363312291036586,22.589115489516722,A,for their uh you know for their own good i'd
sw02005A,male,mhm,31.947228945686753,32.391363913285545,C,place my mother in a nursing home she had a rather massive stroke about
sw02005A,male,yes,45.297867189395014,45.717125,C,who uh ran the nursing home in our little hometown
sw02005A,male,yeah,76.29055987787424,76.55953133488735,C,really not not very good uh deal we
sw02005A,male,yeah,78.11889655035323,78.37707594273309,C,deal we were not really happy with the
sw02005A,male,yeah,86.54337499999998,86.8818562964393,A,her apartment again but it's really a big uh big
sw02005A,male,yeah,96.70334699572426,96.98633388853712,A,that uh might be available course there's you know there's not one on every corner
sw02005A,male,mhm,98.44656444551457,98.86924999999998,C,course there's you know there's not one on every corner especially in you know smaller areas smaller
sw02187B,female,uh-huh,267.8873099286116,268.3144851205961,C,i put it in a two quart saucepan and you put it on a really low heat
sw02187B,female,uh-huh,277.8459643259134,278.326,C,i mean no matter how careful you are you still might get a film on the bottom of the pot
sw02089B,male,yeah,49.53055930159959,49.773831200022144,A,i tell you it really is hard to to get time to go fishing
sw02089B,male,yeah,54.065875,54.308625,A,know unless you just really really work at it
sw02089B,male,what,54.88965042286867,54.99887682211446,O,really really work at it almost it's it's
sw02089B,male,uh,55.1377103689634,55.36130586383707,O,really really work at it almost it's it's it's
sw02089B,male,yeah,56.40373963655059,56.564,A,really work at it almost it's it's it's almost like a second job
sw02387A,female,mhm,159.3479044806757,159.78716232079185,A,that was popular at that time has come back
sw02387A,female,right,166.4909992844236,166.99325110584783,A,of the same music perhaps a new version of it but it's the same
sw02054B,female,oh,476.47602908144205,477.5245313063953,SS,well throughout all of this i called my in-laws who live in Florida
sw02054B,female,uh,489.68869520961437,490.723125,Ds,by the pool sipping you know a glass of wine and
sw02054B,female,yeah,492.59775,493.277375,A,wine and oh it was really it was horrible
sw02308B,male,jeez,27.40331555551796,27.92685832084515,Ds,now my father's almost eighty my grandmother's almost ninety seven
sw02308B,male,yes,78.343125,78.77607186419964,A,i mean i hope i don't get like that when i get old
sw02588B,male,yeah,297.94113196799265,298.18613767888587,C,fan i you know my my girlfriend's like you know she she puts up with me being a baseball fan you
sw02588B,male,yeah,309.4830660058841,309.80413882806744,C,of the of of the guy who Ralphie's Diner is named after
sw02018B,female,okay,37.85925930243483,38.40433410515398,O,okay all
sw02018B,female,yes,39.081875,40.07175,Y,all right are you ready
sw02657B,female,mhm,272.243558698158,272.60711687436884,C,singled out my grandchildren and but actually they're they're pretty good
sw02657B,female,yeah,283.08521943476194,283.315125,C,but at the same time i think it would do them a world of good
sw02352B,male,mhm,129.73525976274047,130.0785372951122,A,as they are supported by their local government
sw02352B,male,mhm,136.41969656239706,136.7849573850192,A,and they have a responsive local city management
sw02352B,male,mhm,145.91045666242334,146.2461245943238,C,i was reading a book at the same time it was on our Texas beaches
sw02352B,male,mmm,152.15730019908386,152.49325,S,our Texas beaches are suppose to be the dirtiest beaches in the United States
sw02352B,male,mhm,157.4773311412132,157.874125,C,not because of litter it's because of boats
sw02352B,male,mhm,162.3618355945784,162.75584379675877,C,if you could think of the basin the Texas gulf
sw02352B,male,mhm,164.91823813115707,165.30125468821225,C,the Texas gulf coast as a large swirling
sw02352B,male,mhm,168.79980247114477,169.14325,C,vacuum things that are thrown from ships
sw02352B,male,yeah,170.6264154227625,171.00689544632726,C,that are thrown from ships swirl in and swirl
sw02352B,male,exactly,171.646875,172.24999224426563,A,from ships swirl in and swirl in to our
sw02352B,male,hm,174.93925,175.14560496256502,C,to our beaches and it kills some of our animals
sw02352B,male,mhm,182.4706490773063,182.7615,C,a nice size facility at Port Aransas
sw02352B,male,hm,188.06124359174834,188.6168326657263,S,of animals that he's frozen that were killed you know by plastic
sw02121B,male,right,560.0144143142318,560.328125,A,if you could come up with a device that's the thing
sw02121B,male,mhm,563.5387781708678,563.7619926642541,C,but it shouldn't be too hard to do something like that but that's
sw02121B,male,mhm,564.8745460157892,565.1258967898544,C,it shouldn't be too hard to do something like that but that's a that's a thought no
sw02121B,male,mhm,575.7370094674158,576.0028973198317,C,would be too keen on installing something like that
sw02121B,male,mhm,585.7952699373251,586.0771016821258,C,i guess the proper authorities
sw02113B,female,yes,68.63456654617029,69.0075,A,very serious he's good he's he's talented
sw02039B,female,oh,219.60662047853037,219.847,SS,that was about a the interior minister it was a
sw02039B,female,yes,219.964125,220.363,C,that was about a the interior minister it was a comedy the
sw02039B,female,yes,220.570125,221.11887218846854,C,a the interior minister it was a comedy the interior
sw02039B,female,uh-huh,222.43604984557012,222.8382873894264,C,minister it was a comedy the interior minister of uh in England
